"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.22","192.168.0.1","DNS","104","Standard query 0x3f1f SRV _ldap._tcp.dc._msdcs.WORKGROUP.flets-west.jp"
"2","0.049023","192.168.0.1","192.168.0.22","DNS","155","Standard query response 0x3f1f No such name SRV _ldap._tcp.dc._msdcs.WORKGROUP.flets-west.jp SOA ns0a.flets-west.jp"
"3","0.050495","192.168.0.22","192.168.0.1","DNS","99","Standard query 0x60a6 SRV _ldap._tcp.dc._msdcs.WORKGROUP.iptvf.jp"
"4","0.057040","192.168.0.1","192.168.0.22","DNS","161","Standard query response 0x60a6 No such name SRV _ldap._tcp.dc._msdcs.WORKGROUP.iptvf.jp SOA ns0a.flets-west.jp"
"5","0.393315","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"6","0.393867","fe80::d3c6:378e:fe43:f907","ff02::1:3","LLMNR","95","Standard query 0x80ac A BRW184F32B26726"
"7","0.394040","192.168.0.22","224.0.0.252","LLMNR","75","Standard query 0x80ac A BRW184F32B26726"
"8","0.700378","20.239.125.92","192.168.0.22","TLSv1.2","100","Application Data"
"9","0.700378","20.239.125.92","192.168.0.22","TLSv1.2","85","Encrypted Alert"
"10","0.700378","20.239.125.92","192.168.0.22","TCP","54","443  >  64118 [FIN, ACK] Seq=78 Ack=1 Win=501 Len=0"
"11","0.700555","192.168.0.22","20.239.125.92","TCP","54","64118  >  443 [ACK] Seq=1 Ack=79 Win=1023 Len=0"
"12","0.728151","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
"13","0.978677","192.168.0.22","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"14","0.979100","fe80::d3c6:378e:fe43:f907","ff02::fb","MDNS","101","Standard query 0x0000 A BRW184F32B26726.local, ""QM"" question"
"15","1.408564","192.168.0.22","230.0.0.1","UDP","92","64439  >  6666 Len=50"
"16","1.480549","192.168.0.22","192.168.0.255","NBNS","92","Name query NB BRW184F32B26726<00>"
